trial,stack,class,duration,H_amp,V_amp,H_vel,V_vel,EyeRT,ArmRT,arm_duration,ArmRT2,button1,button2,delay,sac ang,targR,targL
31,66,1,66,15.45,3.94,388.28,97.99,297,387,163,443,4,1,0,14.3064223544329,-0,-180
66,66,1,62,15.02,-2.56,395.94,-77.74,321,318,151,383,1,4,200,-9.6725129465267,-0,-180
115,66,1,66,15.5,-0.17,390.81,-13.15,291,343,133,372,1,4,500,-0.628380128265986,-0,-180
10143,66,1,66,16.69,-0.13,416.77,-3.87,379,57,244,289,4,1,400,-0.446273260015398,-0,-180
10174,66,1,62,10.54,3.14,268.1,80.39,25,369,114,374,4,1,200,16.5894632196443,-0,-180
37,66,2,76,-19.3,13.16,-510.22,324.65,335,316,208,440,1,4,400,145.711280714769,-45,135
76,66,2,102,-19.56,14.81,-525.15,306.88,259,340,184,439,1,4,300,142.868543589657,-45,135
111,66,2,108,-22.25,13.88,-612.55,310.05,321,329,170,419,1,4,0,148.043251031237,-45,135
10122,66,2,76,-20.86,14.72,-555.14,347.95,295,315,172,380,1,4,500,144.791034939661,-45,135
10171,66,2,78,-22.59,13.35,-589.04,305.14,265,336,132,382,1,4,100,149.418209672656,-45,135
40,66,3,70,-2.07,-18.4,-73.94,-454.66,271,374,125,404,1,4,200,-96.4187867302388,-90,90
78,66,3,64,0.82,-13.68,9.24,-348.74,393,442,119,474,4,1,0,-86.5697082605981,-90,90
95,66,3,64,-3.3,-17.75,-85.56,-466.65,301,365,122,370,4,1,200,-100.531927883734,-90,90
10125,66,3,66,0.88,-15.35,17.02,-409.65,55,86,126,86,1,4,400,-86.7188822594001,-90,90
10163,66,3,68,-0.09,-16.69,-12.21,-414.89,253,338,145,363,1,4,100,-90.3089616641552,-90,90
39,66,4,64,-18.16,-17.64,-476.25,-465.7,333,403,164,470,4,1,200,-135.832170679222,-135,45
62,66,4,68,-16.94,-16.01,-426.21,-389.92,219,207,161,267,4,1,300,-136.616720250746,-135,45
118,66,4,68,-15.21,-17.6,-390.82,-430.15,279,350,159,381,4,1,500,-130.833725190264,-135,45
10131,66,4,66,-19.11,-18.17,-494.87,-468.95,285,337,140,380,4,1,200,-136.444383670033,-135,45
10168,66,4,68,-16.27,-19.76,-410.49,-490.31,297,381,148,413,4,1,200,-129.467377732026,-135,45
13,66,5,64,17.09,-4.32,439.09,-115.56,271,389,143,408,4,1,100,-14.1860257093779,-180,0
41,66,5,64,13.94,-4.17,360.76,-120.52,261,319,179,371,4,1,500,-16.6539839343988,-180,0
119,66,5,66,16.48,-4.18,418.29,-108.79,261,314,163,377,4,1,400,-14.2324051420451,-180,0
10152,66,5,66,16.08,-1.62,407.72,-55.31,253,323,196,374,4,1,300,-5.75292469944118,-180,0
10182,66,5,64,14,-2.39,355.92,-81.29,247,306,150,359,4,1,300,-9.68781664552402,-180,0
38,66,6,66,14.03,-18.43,359.9,-483.03,277,398,176,438,4,1,300,-52.7194756138258,135,-45
56,66,6,106,-6.24,-11.31,1829.56,-2632.74,65,401,134,408,4,1,400,-118.886581766911,135,-45
116,66,6,106,14.2,-45.39,1559.67,-2259.06,283,595,158,668,4,1,0,-72.6280084473662,135,-45
10151,66,6,66,12.21,-20.32,312.41,-520.31,231,291,163,341,4,1,400,-58.9989388348691,135,-45
10176,66,6,70,14.63,-23.61,361.86,-605.32,251,334,151,361,4,1,200,-58.2154634534406,135,-45
35,66,7,78,-5.51,18.84,-142.99,439.47,297,391,148,427,4,1,400,106.302236939732,90,-90
61,66,7,74,-3.41,19.05,-96.03,450.49,343,438,130,440,4,1,300,100.148612119602,90,-90
120,66,7,76,1.07,15,31.85,345.13,261,389,122,452,1,4,300,85.9198122984675,90,-90
10138,66,7,70,-1.7,22.12,-49.22,547.5,211,361,185,422,4,1,300,94.3947438131701,90,-90
10161,66,7,74,2.32,15.28,60.63,364.7,233,325,160,368,4,1,200,81.3665801726362,90,-90
8,66,8,38,-0.9,-6.14,2050.95,-1445.76,389,373,160,442,4,1,300,-98.3390194939502,45,-135
49,66,8,110,17.93,11.98,459.71,227.74,381,367,127,441,1,4,400,33.7490213619084,45,-135
117,66,8,80,17.45,21.05,457.28,485.74,359,309,130,331,4,1,400,50.3419943914873,45,-135
10154,66,8,108,19.66,18.38,494.56,384.69,271,336,129,366,4,1,500,43.0727934391922,45,-135
10173,66,8,76,17.46,12.03,441.55,277.06,207,287,136,296,4,1,300,34.5669752674104,45,-135
trial,stack,class,duration,H_amp,V_amp,H_vel,V_vel,EyeRT,ArmRT,arm_duration,ArmRT2,button1,button2,delay,sac ang,targR,targL
27,66,1,66,17.42,-3.02,450.45,-87.93,281,310,149,319,1,4,500,-9.83526696561884,-0,-180
58,66,1,64,16.5,-2.86,422.17,-93.06,283,306,128,316,1,4,200,-9.83356396420712,-0,-180
86,66,1,66,17.54,-5.08,446.83,-138.24,277,337,141,355,4,1,200,-16.1522700896892,-0,-180
10124,66,1,64,17.18,-1.41,436.03,-51.78,267,361,144,393,1,4,200,-4.6918736371422,-0,-180
10172,66,1,68,17.14,4.27,422.58,104.76,279,396,137,411,4,1,100,13.989041133819,-0,-180
10209,66,1,64,14.63,2.96,380.82,66.85,313,323,113,335,1,4,0,11.4379086442889,-0,-180
20250,66,1,66,16.91,-1.8,430.14,-61.77,293,296,158,334,1,4,0,-6.07602059717742,-0,-180
20307,66,1,74,14.57,3.59,378.92,70.63,255,302,132,371,1,4,300,13.8417700964702,-0,-180
20338,66,1,66,16.97,-2.59,433.29,-82.36,319,315,130,367,1,4,500,-8.6776479213759,-0,-180
30388,66,1,66,17.04,3.37,428.57,80.76,277,314,130,361,1,4,200,11.1870219918187,-0,-180
30423,66,1,70,14.5,-0.2,348.43,-12.06,339,341,125,377,1,4,400,-0.790236502429188,-0,-180
30479,66,1,64,13.21,2.72,333.41,68.9,403,364,136,510,1,4,300,11.6348577970417,-0,-180
40498,66,1,66,13.66,3.32,344.97,72.68,327,359,97,391,1,4,300,13.6606036427793,-0,-180
40534,66,1,66,16.81,-2.76,424.88,-84.21,273,310,135,316,4,1,0,-9.32408714640195,-0,-180
3,66,2,78,-17.76,12.19,-476.88,265.9,317,349,152,411,1,4,100,145.535313583441,-45,135
59,66,2,108,-18.66,14.53,-513.06,307.85,287,319,122,341,1,4,200,142.093144047621,-45,135
81,66,2,102039,99998.06,100001.04,3.65,11.63,-103686,300,164,385,1,4,500,45.0008537109564,-45,135
10155,66,2,90,-19.91,13.09,-542.76,288.51,281,322,157,378,1,4,200,146.676737830954,-45,135
10161,66,2,108,-20.41,16.56,-535.76,333.85,245,331,144,376,1,4,500,140.945266012495,-45,135
10226,66,2,96,-18.84,12.33,-506.63,238.15,235,294,183,363,1,4,300,146.796913699389,-45,135
20259,66,2,84,-19.5,16.75,-530.99,380.66,295,376,126,415,1,4,300,139.338266791428,-45,135
20314,66,2,106,-19.46,17.13,-518.72,371.06,285,335,126,371,1,4,200,138.643595497041,-45,135
20350,66,2,80,-19.08,10.61,-505.91,230.47,271,312,121,350,1,4,300,150.922454138763,-45,135
30384,66,2,106,-23.26,21.16,-612.39,449.62,285,352,138,403,1,4,300,137.706700065989,-45,135
30418,66,2,108,-19.03,10.76,-490.1,219.22,267,331,158,413,1,4,100,150.515182866632,-45,135
30452,66,2,106,-21.6,15.15,-576.26,316.71,241,301,139,371,1,4,500,144.954606943556,-45,135
40505,66,2,106,-20.44,13.79,-549.31,287.38,327,325,149,370,1,4,300,145.994132162878,-45,135
40542,66,2,96,-17.32,17.57,-480.03,368.7,255,306,122,336,1,4,0,134.589461171028,-45,135
40566,66,2,90,-21.26,12.43,-577.76,262.53,275,334,124,344,1,4,0,149.686623782247,-45,135
28,66,3,64,-0.18,-14.69,-13.15,-381.92,285,321,146,346,1,4,300,-90.7020234315586,-90,90
66,66,3,62,1.96,-14.06,44.71,-373.39,337,399,109,401,1,4,0,-82.0639650949087,-90,90
91,66,3,68,0.35,-19.66,-4.65,-493.68,209,309,174,365,1,4,300,-88.9800913182352,-90,90
10154,66,3,64,0.32,-16.86,-3.95,-443.3,235,328,165,374,1,4,500,-88.9126661725211,-90,90
10177,66,3,64,0.02,-13.7,5.74,-354.37,255,338,126,365,1,4,200,-89.9163565856778,-90,90
10219,66,3,66,-1.39,-13.01,-41.08,-326.74,267,310,138,338,1,4,0,-96.0983980280599,-90,90
20270,66,3,68,4.44,-16.67,111.14,-416.84,205,289,126,333,4,1,500,-75.0856981731365,-90,90
20308,66,3,64,-1.44,-15.54,-43.96,-404.2,357,418,177,462,1,4,500,-95.2941430074,-90,90
20354,66,3,62,-3.51,-12.23,-97.05,-329.89,293,346,128,363,1,4,100,-106.013435766882,-90,90
30382,66,3,72,0.33,-15.24,0.22,-357.41,219,325,126,334,1,4,300,-88.7595372071504,-90,90
30417,66,3,66,-2.09,-12.45,-66.26,-310.13,67,293,120,303,1,4,500,-99.5294744126753,-90,90
30471,66,3,70,1.15,-15.02,12.72,-384.62,263,335,115,343,1,4,400,-85.6217147070996,-90,90
40504,66,3,62,-1.01,-12.63,-33.7,-330.99,393,407,141,421,1,4,100,-94.57211820173,-90,90
40522,66,3,64,1.84,-13.91,41.45,-353.69,273,333,116,340,4,1,100,-82.4647220860412,-90,90
25,66,4,68,-16.78,-18.09,-439.52,-446.15,267,369,139,410,4,1,300,-132.848517639114,-135,45
65,66,4,68,-16.9,-21.38,-437.95,-531.04,259,350,145,428,4,1,500,-128.324902640792,-135,45
98,66,4,64,-14.82,-17.64,-388.86,-459.83,279,330,116,360,4,1,100,-130.034829406642,-135,45
10145,66,4,68,-22.04,-21.54,-559.28,-548.3,235,323,126,358,4,1,100,-135.657334393093,-135,45
10192,66,4,66,-13.5,-20.18,-356.45,-524.93,311,377,129,432,4,1,100,-123.781698806459,-135,45
10216,66,4,74,-16.33,-18.81,-434.53,-437.87,253,341,136,396,4,1,300,-130.963052869745,-135,45
20253,66,4,70,-19.62,-20.43,-495.42,-498.3,563,647,167,722,4,1,100,-133.841366911915,-135,45
20319,66,4,68,-17.44,-19.79,-446.62,-492.13,289,371,126,429,4,1,100,-131.388216841974,-135,45
20340,66,4,64,-15.72,-20.29,-413.58,-529.51,295,371,130,493,4,1,500,-127.767303344826,-135,45
30373,66,4,66,-18.8,-12.88,-480.24,-341.59,289,372,119,398,4,1,200,-145.584708174961,-135,45
30410,66,4,64,-17.96,-14.01,-463.15,-358.73,317,406,113,447,4,1,100,-142.043389056625,-135,45
30478,66,4,66,-14.11,-17.14,-352.59,-432.35,281,328,142,380,4,1,500,-129.461912887496,-135,45
40492,66,4,68,-19.48,-18.4,-512.5,-465.24,165,222,125,286,4,1,100,-136.633122575233,-135,45
40545,66,4,68,-20.08,-17.86,-503.89,-435.97,275,376,135,431,4,1,300,-138.348754922488,-135,45
34,66,5,64,15.63,-4.61,399.79,-130.94,249,289,145,329,4,1,300,-16.4331927410647,-180,0
52,66,5,64,15.98,-4.73,413.9,-126.89,309,398,141,451,4,1,100,-16.4884899750936,-180,0
87,66,5,66,16.59,-3.29,429.59,-89.62,239,303,132,324,4,1,300,-11.2169199266474,-180,0
10157,66,5,68,17.18,-2.76,437.16,-91.83,303,372,167,400,4,1,400,-9.12669317383773,-180,0
10179,66,5,68,17.11,-4.07,430.48,-111.57,255,338,151,379,4,1,100,-13.3804246823367,-180,0
10208,66,5,66,16.96,-4.17,425.88,-124.39,241,315,149,350,4,1,0,-13.8134586128707,-180,0
20249,66,5,66,18.04,-4.06,457.28,-116.42,235,302,151,335,4,1,0,-12.6834064574705,-180,0
20317,66,5,68,16.86,-2.99,428.57,-102.03,243,293,173,351,4,1,400,-10.0564386175815,-180,0
20357,66,5,68,12.39,2.13,302.37,49.88,261,351,156,395,4,1,0,9.75453039785072,-180,0
30372,66,5,68,17.09,-2.91,417.97,-90.16,263,331,145,369,4,1,200,-9.66335920586022,-180,0
30416,66,5,66,16.1,-0.5,408.92,-28.62,235,300,197,356,4,1,500,-1.77880031567385,-180,0
30442,66,5,64,13.81,-3.91,356.92,-110.88,237,305,161,350,4,1,400,-15.8083118015226,-180,0
40497,66,5,68,16.44,-3.98,407.72,-120.26,247,337,155,377,4,1,100,-13.6090388044999,-180,0
40556,66,5,66,11.75,3.73,300.86,80.94,243,315,198,391,4,1,100,17.6118746978111,-180,0
7,66,6,68,15.01,-19.64,377.74,-498.6,249,363,185,433,4,1,200,-52.6108895013614,135,-45
44,66,6,70,14.65,-21.64,353.88,-569.85,227,333,158,375,4,1,500,-55.9025080923518,135,-45
83,66,6,70,13.39,-16.9,343.81,-421.42,215,324,157,357,4,1,300,-51.60994389363,135,-45
10156,66,6,70,14.99,-19.48,369.09,-499.68,343,480,135,495,4,1,0,-52.4214593068732,135,-45
10178,66,6,68,12.56,-16.63,317.21,-408.34,283,380,166,410,4,1,400,-52.9376508434751,135,-45
10203,66,6,68,13.65,-18.64,341.28,-469.87,213,311,153,336,4,1,300,-53.7848260753224,135,-45
20273,66,6,70,12.15,-20.78,292.64,-509.25,215,327,168,376,4,1,300,-59.6853093203617,135,-45
20303,66,6,70,12.36,-12.73,304.08,-301.75,289,378,152,393,4,1,100,-45.8448745262349,135,-45
20355,66,6,70,13.83,-21.64,337.5,-571.89,261,338,148,358,4,1,200,-57.4175871330557,135,-45
30370,66,6,66,14.81,-19.03,367.73,-483.21,255,328,163,379,4,1,400,-52.1083448488229,135,-45
30404,66,6,72,14.5,-18.34,359.97,-459.7,281,366,144,389,4,1,100,-51.6693422357214,135,-45
30464,66,6,70,15.05,-16.68,382.24,-400.22,231,335,138,337,4,1,300,-47.9407531460576,135,-45
40496,66,6,72,11.41,-21.07,272.45,-542.1,257,324,166,357,4,1,400,-61.5632038576333,135,-45
40539,66,6,72,12.42,-20.75,291.97,-520.03,185,273,159,293,4,1,300,-59.0971920792678,135,-45
29,66,7,54,-5.51,1.3,-143.78,34.38,-63,269,119,275,1,4,300,166.724709716159,90,-90
56,66,7,78,-0.4,18.92,-16.45,447.12,243,331,172,380,4,1,500,91.2111468354417,90,-90
84,66,7,78,0.4,12.31,5.41,273.19,219,319,150,334,4,1,300,88.1388910819786,90,-90
10138,66,7,108,-0.39,17.82,-5.55,390.18,253,363,163,377,4,1,200,91.2537478902975,90,-90
10162,66,7,72,-2.62,17.78,-74.89,427.7,239,376,162,416,1,4,500,98.3825844822793,90,-90
10225,66,7,72,0.48,10.95,12.9,259.93,343,366,151,441,1,4,200,87.4900110619207,90,-90
20248,66,7,72,-3.93,14.52,-110.61,348.67,251,365,177,410,4,1,200,105.144876828492,90,-90
20283,66,7,80,0.26,18.06,14.92,400.44,247,357,154,400,1,4,0,89.1752007954496,90,-90
20349,66,7,76,0.57,16.48,13.37,396.72,247,370,156,418,4,1,0,88.0190788442138,90,-90
30386,66,7,102,0.94,15.24,27.36,321.44,225,286,158,301,4,1,500,86.4704797166467,90,-90
30411,66,7,100,1.25,16.5,19.04,359.5,29,278,145,327,4,1,500,85.6676860168115,90,-90
30469,66,7,94,2.78,11.95,68.69,261.62,235,378,168,399,4,1,300,76.9038757325213,90,-90
40501,66,7,76,-2.74,11.28,-61.99,251.88,221,346,166,373,4,1,400,103.65315996948,90,-90
40558,66,7,106,0.3,17.73,1.98,387.13,249,374,177,427,4,1,200,89.0306207702453,90,-90
9,66,8,74,15.25,17.64,368.21,414.54,289,343,137,365,4,1,0,49.1561765246276,45,-135
57,66,8,76,17.24,15,441.42,335.2,353,311,115,321,4,1,500,41.0255389138422,45,-135
90,66,8,108,17.74,14.39,459.65,281.58,269,298,149,329,4,1,300,39.0476241673041,45,-135
10159,66,8,106,15.43,14.99,398.08,308.58,309,347,100,349,1,4,100,44.1713219882682,45,-135
10163,66,8,96,15.64,23.17,404.89,499.45,393,333,143,347,1,4,400,55.980225307565,45,-135
10239,66,8,80,17.16,12.95,441.33,293.25,289,325,141,335,4,1,300,37.0404678875402,45,-135
20264,66,8,106,14.42,20.18,357.46,451.67,315,356,149,368,4,1,500,54.4515805921948,45,-135
20316,66,8,84,18.19,13.77,459.24,289.67,321,311,126,316,4,1,200,37.1260618682744,45,-135
20331,66,8,110,16.71,15.7,392.53,296.6,379,413,114,413,1,4,100,43.2150566117969,45,-135
30394,66,8,106,15.12,18.37,388.46,412.74,289,348,123,365,4,1,100,50.5428490604505,45,-135
30425,66,8,100,18.93,14.5,482.88,319.65,285,355,127,390,1,4,0,37.4513899534007,45,-135
30449,66,8,104,16.25,15.97,387.19,306.09,325,335,127,338,4,1,100,44.5020976279345,45,-135
40494,66,8,88,19.46,16.07,491.65,346.61,281,339,134,363,1,4,100,39.549775085034,45,-135
40560,66,8,102,14.86,22.05,382.4,479.92,307,320,146,328,1,4,500,56.0230675072459,45,-135
40571,66,8,86,18.3,12.86,434.22,273.15,275,351,137,371,4,1,100,35.0969497192134,45,-135
trial,stack,class,duration,H_amp,V_amp,H_vel,V_vel,EyeRT,ArmRT,arm_duration,ArmRT2,button1,button2,delay,sac ang,targR,targL
27,66,1,66,17.42,-3.02,450.45,-87.93,281,310,149,319,1,4,500,-9.83526696561884,-0,-180
58,66,1,64,16.5,-2.86,422.17,-93.06,283,306,128,316,1,4,200,-9.83356396420712,-0,-180
86,66,1,66,17.54,-5.08,446.83,-138.24,277,337,141,355,4,1,200,-16.1522700896892,-0,-180
10124,66,1,64,17.18,-1.41,436.03,-51.78,267,361,144,393,1,4,200,-4.6918736371422,-0,-180
10172,66,1,68,17.14,4.27,422.58,104.76,279,396,137,411,4,1,100,13.989041133819,-0,-180
10209,66,1,64,14.63,2.96,380.82,66.85,313,323,113,335,1,4,0,11.4379086442889,-0,-180
20250,66,1,66,16.91,-1.8,430.14,-61.77,293,296,158,334,1,4,0,-6.07602059717742,-0,-180
20307,66,1,74,14.57,3.59,378.92,70.63,255,302,132,371,1,4,300,13.8417700964702,-0,-180
20338,66,1,66,16.97,-2.59,433.29,-82.36,319,315,130,367,1,4,500,-8.6776479213759,-0,-180
30388,66,1,66,17.04,3.37,428.57,80.76,277,314,130,361,1,4,200,11.1870219918187,-0,-180
30423,66,1,70,14.5,-0.2,348.43,-12.06,339,341,125,377,1,4,400,-0.790236502429188,-0,-180
30479,66,1,64,13.21,2.72,333.41,68.9,403,364,136,510,1,4,300,11.6348577970417,-0,-180
40498,66,1,66,13.66,3.32,344.97,72.68,327,359,97,391,1,4,300,13.6606036427793,-0,-180
40534,66,1,66,16.81,-2.76,424.88,-84.21,273,310,135,316,4,1,0,-9.32408714640195,-0,-180
3,66,2,78,-17.76,12.19,-476.88,265.9,317,349,152,411,1,4,100,145.535313583441,-45,135
59,66,2,108,-18.66,14.53,-513.06,307.85,287,319,122,341,1,4,200,142.093144047621,-45,135
81,66,2,102039,99998.06,100001.04,3.65,11.63,-103686,300,164,385,1,4,500,45.0008537109564,-45,135
10155,66,2,90,-19.91,13.09,-542.76,288.51,281,322,157,378,1,4,200,146.676737830954,-45,135
10161,66,2,108,-20.41,16.56,-535.76,333.85,245,331,144,376,1,4,500,140.945266012495,-45,135
10226,66,2,96,-18.84,12.33,-506.63,238.15,235,294,183,363,1,4,300,146.796913699389,-45,135
20259,66,2,84,-19.5,16.75,-530.99,380.66,295,376,126,415,1,4,300,139.338266791428,-45,135
20314,66,2,106,-19.46,17.13,-518.72,371.06,285,335,126,371,1,4,200,138.643595497041,-45,135
20350,66,2,80,-19.08,10.61,-505.91,230.47,271,312,121,350,1,4,300,150.922454138763,-45,135
30384,66,2,106,-23.26,21.16,-612.39,449.62,285,352,138,403,1,4,300,137.706700065989,-45,135
30418,66,2,108,-19.03,10.76,-490.1,219.22,267,331,158,413,1,4,100,150.515182866632,-45,135
30452,66,2,106,-21.6,15.15,-576.26,316.71,241,301,139,371,1,4,500,144.954606943556,-45,135
40505,66,2,106,-20.44,13.79,-549.31,287.38,327,325,149,370,1,4,300,145.994132162878,-45,135
40542,66,2,96,-17.32,17.57,-480.03,368.7,255,306,122,336,1,4,0,134.589461171028,-45,135
40566,66,2,90,-21.26,12.43,-577.76,262.53,275,334,124,344,1,4,0,149.686623782247,-45,135
28,66,3,64,-0.18,-14.69,-13.15,-381.92,285,321,146,346,1,4,300,-90.7020234315586,-90,90
66,66,3,62,1.96,-14.06,44.71,-373.39,337,399,109,401,1,4,0,-82.0639650949087,-90,90
91,66,3,68,0.35,-19.66,-4.65,-493.68,209,309,174,365,1,4,300,-88.9800913182352,-90,90
10154,66,3,64,0.32,-16.86,-3.95,-443.3,235,328,165,374,1,4,500,-88.9126661725211,-90,90
10177,66,3,64,0.02,-13.7,5.74,-354.37,255,338,126,365,1,4,200,-89.9163565856778,-90,90
10219,66,3,66,-1.39,-13.01,-41.08,-326.74,267,310,138,338,1,4,0,-96.0983980280599,-90,90
20270,66,3,68,4.44,-16.67,111.14,-416.84,205,289,126,333,4,1,500,-75.0856981731365,-90,90
20308,66,3,64,-1.44,-15.54,-43.96,-404.2,357,418,177,462,1,4,500,-95.2941430074,-90,90
20354,66,3,62,-3.51,-12.23,-97.05,-329.89,293,346,128,363,1,4,100,-106.013435766882,-90,90
30382,66,3,72,0.33,-15.24,0.22,-357.41,219,325,126,334,1,4,300,-88.7595372071504,-90,90
30417,66,3,66,-2.09,-12.45,-66.26,-310.13,67,293,120,303,1,4,500,-99.5294744126753,-90,90
30471,66,3,70,1.15,-15.02,12.72,-384.62,263,335,115,343,1,4,400,-85.6217147070996,-90,90
40504,66,3,62,-1.01,-12.63,-33.7,-330.99,393,407,141,421,1,4,100,-94.57211820173,-90,90
40522,66,3,64,1.84,-13.91,41.45,-353.69,273,333,116,340,4,1,100,-82.4647220860412,-90,90
25,66,4,68,-16.78,-18.09,-439.52,-446.15,267,369,139,410,4,1,300,-132.848517639114,-135,45
65,66,4,68,-16.9,-21.38,-437.95,-531.04,259,350,145,428,4,1,500,-128.324902640792,-135,45
98,66,4,64,-14.82,-17.64,-388.86,-459.83,279,330,116,360,4,1,100,-130.034829406642,-135,45
10145,66,4,68,-22.04,-21.54,-559.28,-548.3,235,323,126,358,4,1,100,-135.657334393093,-135,45
10192,66,4,66,-13.5,-20.18,-356.45,-524.93,311,377,129,432,4,1,100,-123.781698806459,-135,45
10216,66,4,74,-16.33,-18.81,-434.53,-437.87,253,341,136,396,4,1,300,-130.963052869745,-135,45
20253,66,4,70,-19.62,-20.43,-495.42,-498.3,563,647,167,722,4,1,100,-133.841366911915,-135,45
20319,66,4,68,-17.44,-19.79,-446.62,-492.13,289,371,126,429,4,1,100,-131.388216841974,-135,45
20340,66,4,64,-15.72,-20.29,-413.58,-529.51,295,371,130,493,4,1,500,-127.767303344826,-135,45
30373,66,4,66,-18.8,-12.88,-480.24,-341.59,289,372,119,398,4,1,200,-145.584708174961,-135,45
30410,66,4,64,-17.96,-14.01,-463.15,-358.73,317,406,113,447,4,1,100,-142.043389056625,-135,45
30478,66,4,66,-14.11,-17.14,-352.59,-432.35,281,328,142,380,4,1,500,-129.461912887496,-135,45
40492,66,4,68,-19.48,-18.4,-512.5,-465.24,165,222,125,286,4,1,100,-136.633122575233,-135,45
40545,66,4,68,-20.08,-17.86,-503.89,-435.97,275,376,135,431,4,1,300,-138.348754922488,-135,45
34,66,5,64,15.63,-4.61,399.79,-130.94,249,289,145,329,4,1,300,-16.4331927410647,-180,0
52,66,5,64,15.98,-4.73,413.9,-126.89,309,398,141,451,4,1,100,-16.4884899750936,-180,0
87,66,5,66,16.59,-3.29,429.59,-89.62,239,303,132,324,4,1,300,-11.2169199266474,-180,0
10157,66,5,68,17.18,-2.76,437.16,-91.83,303,372,167,400,4,1,400,-9.12669317383773,-180,0
10179,66,5,68,17.11,-4.07,430.48,-111.57,255,338,151,379,4,1,100,-13.3804246823367,-180,0
10208,66,5,66,16.96,-4.17,425.88,-124.39,241,315,149,350,4,1,0,-13.8134586128707,-180,0
20249,66,5,66,18.04,-4.06,457.28,-116.42,235,302,151,335,4,1,0,-12.6834064574705,-180,0
20317,66,5,68,16.86,-2.99,428.57,-102.03,243,293,173,351,4,1,400,-10.0564386175815,-180,0
20357,66,5,68,12.39,2.13,302.37,49.88,261,351,156,395,4,1,0,9.75453039785072,-180,0
30372,66,5,68,17.09,-2.91,417.97,-90.16,263,331,145,369,4,1,200,-9.66335920586022,-180,0
30416,66,5,66,16.1,-0.5,408.92,-28.62,235,300,197,356,4,1,500,-1.77880031567385,-180,0
30442,66,5,64,13.81,-3.91,356.92,-110.88,237,305,161,350,4,1,400,-15.8083118015226,-180,0
40497,66,5,68,16.44,-3.98,407.72,-120.26,247,337,155,377,4,1,100,-13.6090388044999,-180,0
40556,66,5,66,11.75,3.73,300.86,80.94,243,315,198,391,4,1,100,17.6118746978111,-180,0
7,66,6,68,15.01,-19.64,377.74,-498.6,249,363,185,433,4,1,200,-52.6108895013614,135,-45
44,66,6,70,14.65,-21.64,353.88,-569.85,227,333,158,375,4,1,500,-55.9025080923518,135,-45
83,66,6,70,13.39,-16.9,343.81,-421.42,215,324,157,357,4,1,300,-51.60994389363,135,-45
10156,66,6,70,14.99,-19.48,369.09,-499.68,343,480,135,495,4,1,0,-52.4214593068732,135,-45
10178,66,6,68,12.56,-16.63,317.21,-408.34,283,380,166,410,4,1,400,-52.9376508434751,135,-45
10203,66,6,68,13.65,-18.64,341.28,-469.87,213,311,153,336,4,1,300,-53.7848260753224,135,-45
20273,66,6,70,12.15,-20.78,292.64,-509.25,215,327,168,376,4,1,300,-59.6853093203617,135,-45
20303,66,6,70,12.36,-12.73,304.08,-301.75,289,378,152,393,4,1,100,-45.8448745262349,135,-45
20355,66,6,70,13.83,-21.64,337.5,-571.89,261,338,148,358,4,1,200,-57.4175871330557,135,-45
30370,66,6,66,14.81,-19.03,367.73,-483.21,255,328,163,379,4,1,400,-52.1083448488229,135,-45
30404,66,6,72,14.5,-18.34,359.97,-459.7,281,366,144,389,4,1,100,-51.6693422357214,135,-45
30464,66,6,70,15.05,-16.68,382.24,-400.22,231,335,138,337,4,1,300,-47.9407531460576,135,-45
40496,66,6,72,11.41,-21.07,272.45,-542.1,257,324,166,357,4,1,400,-61.5632038576333,135,-45
40539,66,6,72,12.42,-20.75,291.97,-520.03,185,273,159,293,4,1,300,-59.0971920792678,135,-45
29,66,7,54,-5.51,1.3,-143.78,34.38,-63,269,119,275,1,4,300,166.724709716159,90,-90
56,66,7,78,-0.4,18.92,-16.45,447.12,243,331,172,380,4,1,500,91.2111468354417,90,-90
84,66,7,78,0.4,12.31,5.41,273.19,219,319,150,334,4,1,300,88.1388910819786,90,-90
10138,66,7,108,-0.39,17.82,-5.55,390.18,253,363,163,377,4,1,200,91.2537478902975,90,-90
10162,66,7,72,-2.62,17.78,-74.89,427.7,239,376,162,416,1,4,500,98.3825844822793,90,-90
10225,66,7,72,0.48,10.95,12.9,259.93,343,366,151,441,1,4,200,87.4900110619207,90,-90
20248,66,7,72,-3.93,14.52,-110.61,348.67,251,365,177,410,4,1,200,105.144876828492,90,-90
20283,66,7,80,0.26,18.06,14.92,400.44,247,357,154,400,1,4,0,89.1752007954496,90,-90
20349,66,7,76,0.57,16.48,13.37,396.72,247,370,156,418,4,1,0,88.0190788442138,90,-90
30386,66,7,102,0.94,15.24,27.36,321.44,225,286,158,301,4,1,500,86.4704797166467,90,-90
30411,66,7,100,1.25,16.5,19.04,359.5,29,278,145,327,4,1,500,85.6676860168115,90,-90
30469,66,7,94,2.78,11.95,68.69,261.62,235,378,168,399,4,1,300,76.9038757325213,90,-90
40501,66,7,76,-2.74,11.28,-61.99,251.88,221,346,166,373,4,1,400,103.65315996948,90,-90
40558,66,7,106,0.3,17.73,1.98,387.13,249,374,177,427,4,1,200,89.0306207702453,90,-90
9,66,8,74,15.25,17.64,368.21,414.54,289,343,137,365,4,1,0,49.1561765246276,45,-135
